Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Model,Arrow Part Number,Arrow Price/Stock,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,automotive,category,contact material,current rating,device class L1,device class L2,device class L3,digikey description,digikey part number,footprint url,height,is connector,is female,is male,lead free,library id,manufacturer,mouser description,mouser part number,number of contacts,number of rows,package,pitch,rohs,standoff height,temperature range high,temperature range low,voltage rating,Channel Polarity,Ciss Typ pF,Component Link 1 Description,Component Link 1 URL,Component Link 3 Description,Component Link 3 URL,Configuration,Coss Typ pF,Crss Typ pF,Datasheet Version,Mounting Technology,PD Max W,Package Description,Package Type,Package Version,Packing,Qrr Typ nC,VBRDSS Min V,VGSth Max V,ciiva ids,imported,release date,vault revision,automotive grade,continuous drain current,depletion mode,drain to source breakdown voltage,drain to source resistance,drain to source voltage,gate charge at vgs,gate to source voltage,input capacitace at vds,max forward diode voltage,max junction temp,number of N channels,number of channels,power dissipation,pulse drain current,reverse recovery charge,reverse recovery time,rthja max,threshold vgs max,threshold vgs min,transconductance,turn off delay time,turn on delay time,typ forward diode voltage
42,,NTD5867NLT4G,Q8,NTD5867NLT4G,On_Semiconductor-NTD5867NLT4G-Manufacturer_Recommended,1,http://www.onsemi.com/pub/Collateral/NTD5867NL-D.PDF,NTD5867NLT4G,,,,,,,,,Trans,,,,,,,,,,,,,,412ea6bf168d1bc1,On Semiconductor,,,,,DPAK-3-369AA-01,,No,,,,,N Channel,675,Manufacturer URL,http://www.onsemi.com/,Package Specification,http://www.onsemi.cn/pub_link/Collateral/369AA.PDF,Single,68,47,Rev. 2,Surface Mount,36,"3-Pin Flange Mount, Body 6.54 x 6.095 mm, Pitch 2.29 mm","DPAK-3, IPAK-4","Rev. B, 06/2010",Tape and Reel,12,60,2.5,2570172,yes,1407149587,82276418-1D90-403A-B020-11A36D4E3DC7,,,,,,,,,,,,,,,,,,,,,,,,
43,NVMFD5C672NLT1G,NVMFD5C672NLT1G,Q1 Q2 Q3 Q4 Q11 Q12 Q13 Q14 Q15 Q16 Q17 Q18 Q19 Q20 Q21 Q22,NVMFD5C672NLT1G,ON_Semiconductor-506BT-02_2013-E-MFG,16,https://www.onsemi.com/pub/Collateral/NVMFD5C672NL-D.PDF,NVMFD5C672NLT1G,,,,,,,,Yes,Trans,,,Discrete Semiconductors,Transistors,MOSFETs,MOSFET 2N-CH 60V 49A S08FL,NVMFD5C672NLT1GOSCT-ND,https://www.onsemi.com/pub/Collateral/506BT.PDF,1.1mm,,,,Yes,b75140b984a3b3a1,ON Semiconductor,"Dual N-Channel Power MOSFET 60V, 49A, 11.9mO",863-NVMFD5C672NLT1G,,,DFN8_5X6,,Yes,,+175°C,-55°C,,,,,,,,,,,,,,,,,,,,,,,,,Grade 0,11A,False,60V,13.4mΩ,60V,12.3nC @ 10V,20V,793pF @ 25V,1.2V,+175°C,2,2,3.1W,161A,13nC,26ns,47.51°C/W,2.2V,1.2V,27.5S,22ns,11ns,0.9V
44,"Resistor, US symbol",R_US,R83,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805JR-070RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Resistor, US symbol",R_US,R13,.002,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1,~,PCS2512FR0020ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Resistor, US symbol",R_US,R3 R5 R44 R46 R52 R54 R60 R62,.05,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,8,~,CSR2512C0R05F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Resistor, US symbol",R_US,R25,5.1,R_Axial_Power_L25.0mm_W9.0mm_P30.48mm,1,~,SQP500JB-5R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Resistor, US symbol",R_US,R77 R78,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,~,RC0805FR-0710RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Resistor, US symbol",R_US,R1 R2 R4 R6 R45 R47 R48 R49 R53 R55 R56 R57 R61 R63 R64 R65,75,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,16,~,RMCF0805JT75R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Resistor, US symbol",R_US,R12,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-7W100RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Resistor, US symbol",R_US,R75,130,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805JR-07130RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
