Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Model,Arrow Part Number,Arrow Price/Stock,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,automotive,category,contact material,current rating,device class L1,device class L2,device class L3,digikey description,digikey part number,footprint url,height,is connector,is female,is male,lead free,library id,manufacturer,mouser description,mouser part number,number of contacts,number of rows,package,pitch,rohs,standoff height,temperature range high,temperature range low,voltage rating,Channel Polarity,Ciss Typ pF,Component Link 1 Description,Component Link 1 URL,Component Link 3 Description,Component Link 3 URL,Configuration,Coss Typ pF,Crss Typ pF,Datasheet Version,Mounting Technology,PD Max W,Package Description,Package Type,Package Version,Packing,Qrr Typ nC,VBRDSS Min V,VGSth Max V,ciiva ids,imported,release date,vault revision,automotive grade,continuous drain current,depletion mode,drain to source breakdown voltage,drain to source resistance,drain to source voltage,gate charge at vgs,gate to source voltage,input capacitace at vds,max forward diode voltage,max junction temp,number of N channels,number of channels,power dissipation,pulse drain current,reverse recovery charge,reverse recovery time,rthja max,threshold vgs max,threshold vgs min,transconductance,turn off delay time,turn on delay time,typ forward diode voltage
1,Unpolarized capacitor,C,C36 C37,10pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,~,C0805C100J5GACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Unpolarized capacitor,C,C14 C69 C70 C81 C82 C83,130pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6,~,08055A131JAT2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Unpolarized capacitor,C,C25,330pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,C0805C331J5GACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Unpolarized capacitor,C,C1 C43 C54 C64,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,C0805C102K4RACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Unpolarized capacitor,C,C26,1.5nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,CC0805KRX7R9BB152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Unpolarized capacitor,C,C6 C42 C53 C63,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,C0805C103K1RAC7210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Unpolarized capacitor,C,C22,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,RC0805FR-07100KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Unpolarized capacitor,C,C17 C18,47nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,~,CL21B473KCCWPNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Unpolarized capacitor,C,C24,68nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,CC0805KRX7R9BB683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Unpolarized capacitor,C,C9 C13 C15 C23 C28 C29 C30 C31 C32 C33 C34 C35 C40 C51 C61 C72 C73 C74 C75 C76 C77 C78 C79 C84 C85 C86 C87 C88 C89 C90 C91 C92 C96 C97,.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34,~,C0805C104M5RACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Unpolarized capacitor,C,C16 C48 C71 C95,.22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,CC0805KRX7R8BB224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Unpolarized capacitor,C,C8 C10 C39 C41 C50 C52 C60 C62,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8,~,CC0805KKX7R7BB105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Polarized capacitor, small US symbol",C_Polarized_Small_US,C93,1uF,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,~,ESH105M100AC3AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Unpolarized capacitor,C,C94,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,CL21A106KOFNNNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Polarized capacitor, US symbol",C_Polarized_US,C4 C5 C46 C47 C57 C58 C67 C68,22uF,CP_Radial_D5.0mm_P2.00mm,8,~,226CKS063M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Unpolarized capacitor,C,C27,47uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,~,CL32A476KOJNNNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Unpolarized capacitor,C,C11,",68uF",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,~,C1206C684J5RECAUTO7210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Polarized capacitor, US symbol",C_Polarized_US,C2 C3 C44 C45 C55 C56 C65 C66,100uF,CP_Radial_D10.0mm_P5.00mm,8,~,EKYB101ELL101MJ20S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Unpolarized capacitor,C,C21, 1uF 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,GRJ21BC72A105KE11L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Unpolarized capacitor,C,C7 C38 C49 C59,.22uF 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,CL21B224KCFSNWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Unpolarized capacitor,C,C19,10uF 63V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,~,GRM32ER71J106KA12L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Unpolarized capacitor,C,C12,1uF 100V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,~,12101C105KAT4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Unpolarized capacitor,C,C20,1uF 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,GRJ21BC72A105KE11L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"300mW Zener Diode, SOT-23",BZX84Cxx,D5,12V,SOT-23,1,https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf,BZX84C12LT1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ESD Suppressors / TVS Diodes 48V 5kW BIDIR,5.0SMDJ48CA,D1,5.0SMDJ48CA,DIONM7959X262N,1,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/cf7d599bfcfa0f09d11fc46aa98cc269.pdf,5.0SMDJ48CA,5.0SMDJ48CA,https://www.arrow.com/en/products/5.0smdj48ca/bourns,2.62,Bourns,5.0SMDJ48CA,652-5.0SMDJ48CA,https://www.mouser.co.uk/ProductDetail/Bourns/50SMDJ48CA?qs=YCa%2FAAYMW03C2yF24BerMw%3D%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,CDBW46-G,D11 D12 D13 D14 D15 D16 D17 D18 D19 D20,CDBW46-G,CDBW46-G,10,,RB521S30T1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"80V 0.5A Schottky Power Rectifier Diode, SOD-123",MBR0580,D2 D3 D4 D6,MBR0580,D_SOD-123,4,http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf,MBR0580S1-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,RB521S30T1G,D7 D8 D9 D10,RB521S30T1G,RB521S30T1G,4,,RB521S30T1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,39-30-0060,39-30-0060_1,J2,39-30-0060,Molex-39-30-0060-*,1,https://www.molex.com/webdocs/datasheets/pdf/en-us/0039300060_PCB_HEADERS.pdf,39-30-0060,,,,,,,,No,Conn,Tin,13A,Connectors,Headers and Wire Housings,unset,CONN HEADER R/A 6POS 4.2MM,WM21353-ND,https://www.molex.com/pdm_docs/sd/039300060_sd.pdf,10.38mm,yes,no,yes,Yes,4825835b80214558,Molex,Headers & Wire Housings 6 CKT R/A HEADER,538-39-30-0060,6,2,HDR6,4.2mm,Yes,0.4mm,+105°C,-40°C,600V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,43045-0402,43045-0402,J1 J7 J8 J9,43045-0402,Molex-43045-0402-MFG,4,https://www.molex.com/webdocs/datasheets/pdf/en-us/0430450402_PCB_HEADERS.pdf,43045-0402,,,,,,,,No,Conn,Gold,8.5A,Connectors,Headers and Wire Housings,unset,CONN HEADER R/A 4POS 3MM,WM1820-ND,https://www.molex.com/pdm_docs/sd/430450402_sd.pdf,9.27mm,yes,no,yes,Yes,7516097cc790e3f0,Molex,Headers & Wire Housings 4 CKT R/A HEADER,538-43045-0402,4,2,HDR4,3mm,Yes,,+105°C,-40°C,600V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
